Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Federal land,Terres federales,10,10
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,epinette,Private land,Terres privees,284,284
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,47,47
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pine,Pin,Provincial land,Terres provinciales,253,253
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce,epinette,Provincial land,Terres provinciales,3441,3441
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Fir,Sapin,Private land,Terres privees,3,3
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,181,181
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Pine,Pin,Private land,Terres privees,244,244
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spruce,epinette,Private land,Terres privees,8560,8560
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Unspecified,Indeterminee,Private land,Terres privees,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Fir,Sapin,Provincial land,Terres provinciales,0,0
