Year,Annee,ISO,Jurisdiction,Juridiction,Tenure-En,Tenure-Fr,Application-Method,Methode-d'application,Area,Superficie
2000,2000,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Ground,Sol,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,YT,Yukon,Yukon,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,YT,Yukon,Yukon,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,YT,Yukon,Yukon,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,YT,Yukon,Yukon,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,YT,Yukon,Yukon,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,YT,Yukon,Yukon,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,YT,Yukon,Yukon,Private land,Terres privees,Ground,Sol,0,0
2000,2000,YT,Yukon,Yukon,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,YT,Yukon,Yukon,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,AB,Alberta,Alberta,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,AB,Alberta,Alberta,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,AB,Alberta,Alberta,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aerien,1243,1243
2001,2001,AB,Alberta,Alberta,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,41,41
2001,2001,AB,Alberta,Alberta,Private land,Terres privees,Ground,Sol,0,0
2001,2001,AB,Alberta,Alberta,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,AB,Alberta,Alberta,Private land,Terres privees,Unspecified,Indeterminee,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Aerial,Aerien,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Ground,Sol,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Aerial,Aerien,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Ground,Sol,113,113
2001,2001,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Ground,Sol,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2001,2001,BC,British Columbia,Colombie-Britannique,Private land,Terres privees,Unspecified,Indeterminee,0,0
