Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1991,SK,Saskatchewan,Hardwoods,Private land,200000,e
1991,SK,Saskatchewan,Unspecified,Provincial land,0,r
1991,SK,Saskatchewan,Unspecified,Private land,0,e
1991,SK,Saskatchewan,Hardwoods,Federal land,0,u
1991,SK,Saskatchewan,Softwoods,Federal land,0,u
1991,SK,Saskatchewan,Unspecified,Federal land,0,u
1991,SK,Saskatchewan,Unspecified,Federal land,462000,E
1991,YT,Yukon,Softwoods,Provincial land,0,u
1991,YT,Yukon,Softwoods,Private land,0,u
1991,YT,Yukon,Hardwoods,Provincial land,0,u
1991,YT,Yukon,Hardwoods,Private land,0,u
1991,YT,Yukon,Unspecified,Provincial land,0,u
1991,YT,Yukon,Unspecified,Private land,0,u
1991,YT,Yukon,Hardwoods,Federal land,0,n
1991,YT,Yukon,Softwoods,Federal land,0,n
1991,YT,Yukon,Unspecified,Federal land,0,u
1992,AB,Alberta,Hardwoods,Private land,461150,E
1992,AB,Alberta,Softwoods,Private land,548600,E
1992,AB,Alberta,Softwoods,Provincial land,14308412,a
1992,AB,Alberta,Hardwoods,Provincial land,10377064,a
1992,AB,Alberta,Unspecified,Provincial land,0,u
1992,AB,Alberta,Hardwoods,Federal land,0,u
1992,AB,Alberta,Softwoods,Federal land,0,u
1992,AB,Alberta,Unspecified,Federal land,0,u
1992,AB,Alberta,Unspecified,Federal land,948000,E
1992,BC,British Columbia,Hardwoods,Private land,508821,E
1992,BC,British Columbia,Softwoods,Private land,6069038,E
1992,BC,British Columbia,Softwoods,Private land regulated,2661955,a
1992,BC,British Columbia,Hardwoods,Private land regulated,9566,a
1992,BC,British Columbia,Unspecified,Private land regulated,0,u
1992,BC,British Columbia,Softwoods,Provincial land,66392255,a
1992,BC,British Columbia,Hardwoods,Provincial land,2366191,a
1992,BC,British Columbia,Unspecified,Provincial land,0,u
1992,BC,British Columbia,Hardwoods,Federal land,0,u
1992,BC,British Columbia,Softwoods,Federal land,0,u
1992,BC,British Columbia,Unspecified,Federal land,0,u
1992,BC,British Columbia,Unspecified,Federal land,549000,E
1992,GC,Canada,Hardwoods,Federal land,0,u
1992,GC,Canada,Softwoods,Federal land,0,u
1992,GC,Canada,Unspecified,Federal land,3814400,E
1992,MB,Manitoba,Softwoods,Provincial land,5561500,a
1992,MB,Manitoba,Softwoods,Private land,40270,a
1992,MB,Manitoba,Hardwoods,Provincial land,2153300,a
1992,MB,Manitoba,Hardwoods,Private land,564300,a
1992,MB,Manitoba,Unspecified,Provincial land,0,u
1992,MB,Manitoba,Unspecified,Private land,0,u
1992,MB,Manitoba,Hardwoods,Federal land,0,u
1992,MB,Manitoba,Softwoods,Federal land,0,u
1992,MB,Manitoba,Unspecified,Federal land,0,u
1992,MB,Manitoba,Unspecified,Federal land,95000,E
1992,NB,New Brunswick,Softwoods,Provincial land,4330615,a
1992,NB,New Brunswick,Softwoods,Private land,3594230,a
1992,NB,New Brunswick,Hardwoods,Provincial land,1839360,a
1992,NB,New Brunswick,Hardwoods,Private land,2102040,a
1992,NB,New Brunswick,Unspecified,Provincial land,0,u
1992,NB,New Brunswick,Unspecified,Private land,0,u
1992,NB,New Brunswick,Hardwoods,Federal land,0,u
1992,NB,New Brunswick,Softwoods,Federal land,0,u
1992,NB,New Brunswick,Unspecified,Federal land,0,u
1992,NB,New Brunswick,Unspecified,Federal land,166000,E
