Year,Jurisdiction,Industry,Product,Value
2001,Alberta,Wood product manufacturing,Sawmills and wood preservation,1270696000
2001,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,788604000
2001,Alberta,Wood product manufacturing,Other wood product manufacturing,540577000
2001,Alberta,All industries,Total revenue,5001554000
2001,British Columbia,Logging,Total logging,6082303000
2001,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,6263089000
2001,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,388120000
2001,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,5874969000
2001,British Columbia,Wood product manufacturing,Total wood product manufacturing,10817105000
2001,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8079458000
2001,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1586112000
2001,British Columbia,Wood product manufacturing,Other wood product manufacturing,1151535000
2001,British Columbia,All industries,Total revenue,23162497000
2001,Manitoba,Logging,Total logging,124765000
2001,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,547435000
2001,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Manitoba,Wood product manufacturing,Total wood product manufacturing,597297000
2001,Manitoba,Wood product manufacturing,Sawmills and wood preservation,124814000
2001,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,202894000
2001,Manitoba,Wood product manufacturing,Other wood product manufacturing,269589000
2001,Manitoba,All industries,Total revenue,1269497000
2001,New Brunswick,Logging,Total logging,640989000
2001,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2191652000
2001,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,127419000
2001,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2064233000
2001,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1427528000
2001,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,963283000
2001,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,288088000
2001,New Brunswick,Wood product manufacturing,Other wood product manufacturing,176157000
2001,New Brunswick,All industries,Total revenue,4260169000
2001,Newfoundland and Labrador,Logging,Total logging,163219000
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,94838000
2001,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2001,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,4635000
2001,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2001,Newfoundland and Labrador,All industries,Total revenue,258057000
2001,Northwest Territories,Logging,Total logging,0
2001,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2001,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2001,Northwest Territories,All industries,Total revenue,0
2001,Nova Scotia,Logging,Total logging,295658000
2001,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,962432000
2001,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,527603000
2001,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,393301000
2001,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,69340000
2001,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,64962000
2001,Nova Scotia,All industries,Total revenue,1785693000
2001,Nunavut,Logging,Total logging,0
2001,Nunavut,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Nunavut,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Nunavut,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2001,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2001,Nunavut,All industries,Total revenue,0
2001,Ontario,Logging,Total logging,2017853000
2001,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11114989000
2001,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,5058995000
2001,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,6055994000
2001,Ontario,Wood product manufacturing,Total wood product manufacturing,5588952000
2001,Ontario,Wood product manufacturing,Sawmills and wood preservation,2018853000
2001,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1523337000
2001,Ontario,Wood product manufacturing,Other wood product manufacturing,2046762000
2001,Ontario,All industries,Total revenue,18721794000
2001,Prince Edward Island,Logging,Total logging,9835000
2001,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,43462000
2001,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2001,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7953000
2001,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2001,Prince Edward Island,All industries,Total revenue,53297000
2001,Quebec,Logging,Total logging,2427660000
2001,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11993283000
2001,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,3522884000
2001,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,8470399000
2001,Quebec,Wood product manufacturing,Total wood product manufacturing,8063318000
2001,Quebec,Wood product manufacturing,Sawmills and wood preservation,4088595000
2001,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1542293000
2001,Quebec,Wood product manufacturing,Other wood product manufacturing,2432430000
2001,Quebec,All industries,Total revenue,22484261000
2001,Saskatchewan,Logging,Total logging,205029000
2001,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,493287000
2001,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,314894000
2001,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,160803000
2001,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,115112000
2001,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,38979000
2001,Saskatchewan,All industries,Total revenue,1013210000
2001,Yukon,Logging,Total logging,0
2001,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2001,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2001,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2001,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2001,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2001,Yukon,All industries,Total revenue,0
2002,Canada,Logging,Total logging,12333746000
2002,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,34225256000
2002,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,10221841000
2002,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,24003415000
2002,Canada,Wood product manufacturing,Total wood product manufacturing,32174361000
2002,Canada,Wood product manufacturing,Sawmills and wood preservation,17842483000
2002,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6737775000
2002,Canada,Wood product manufacturing,Other wood product manufacturing,7594103000
2002,Canada,All industries,Total revenue,78733363000
2002,Alberta,Logging,Total logging,664309000
2002,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,1605418000
2002,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,287238000
2002,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1318180000
2002,Alberta,Wood product manufacturing,Total wood product manufacturing,2887937000
2002,Alberta,Wood product manufacturing,Sawmills and wood preservation,1291771000
2002,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,982425000
2002,Alberta,Wood product manufacturing,Other wood product manufacturing,613741000
2002,Alberta,All industries,Total revenue,5157664000
2002,British Columbia,Logging,Total logging,6196868000
2002,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,5329165000
2002,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,390676000
2002,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,4938489000
2002,British Columbia,Wood product manufacturing,Total wood product manufacturing,11361619000
2002,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8340253000
2002,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1681163000
2002,British Columbia,Wood product manufacturing,Other wood product manufacturing,1340203000
2002,British Columbia,All industries,Total revenue,22887652000
2002,Manitoba,Logging,Total logging,121708000
2002,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,532979000
2002,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Manitoba,Wood product manufacturing,Total wood product manufacturing,595979000
2002,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2002,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,135251000
2002,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2002,Manitoba,All industries,Total revenue,1250666000
2002,New Brunswick,Logging,Total logging,701400000
2002,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,2324192000
2002,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,134165000
2002,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2190027000
2002,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1486476000
2002,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,946846000
2002,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,316543000
2002,New Brunswick,Wood product manufacturing,Other wood product manufacturing,223087000
2002,New Brunswick,All industries,Total revenue,4512068000
2002,Newfoundland and Labrador,Logging,Total logging,171178000
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,89775000
2002,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2002,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2002,Newfoundland and Labrador,All industries,Total revenue,260953000
2002,Northwest Territories,Logging,Total logging,0
2002,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2002,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2002,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2002,Northwest Territories,All industries,Total revenue,0
2002,Nova Scotia,Logging,Total logging,279565000
2002,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,776354000
2002,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2002,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2002,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,573596000
2002,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,418841000
