Year,Jurisdiction,Sector,Employees
2013,Manitoba,Support activities for forestry,
2013,Manitoba,Wood product manufacturing,2433
2013,New Brunswick,Forestry and logging,1923
2013,New Brunswick,Paper manufacturing,2612
2013,New Brunswick,Support activities for forestry,657
2013,New Brunswick,Wood product manufacturing,4013
2013,Newfoundland and Labrador,Forestry and logging,
2013,Newfoundland and Labrador,Paper manufacturing,
2013,Newfoundland and Labrador,Support activities for forestry,
2013,Newfoundland and Labrador,Wood product manufacturing,379
2013,Northwest Territories,Forestry and logging,
2013,Northwest Territories,Paper manufacturing,
2013,Northwest Territories,Support activities for forestry,
2013,Northwest Territories,Wood product manufacturing,
2013,Nova Scotia,Forestry and logging,
2013,Nova Scotia,Paper manufacturing,1302
2013,Nova Scotia,Support activities for forestry,
2013,Nova Scotia,Wood product manufacturing,1987
2013,Nunavut,Forestry and logging,
2013,Nunavut,Paper manufacturing,
2013,Nunavut,Support activities for forestry,
2013,Nunavut,Wood product manufacturing,
2013,Ontario,Forestry and logging,3428
2013,Ontario,Paper manufacturing,17563
2013,Ontario,Support activities for forestry,1443
2013,Ontario,Wood product manufacturing,15365
2013,Prince Edward Island,Forestry and logging,
2013,Prince Edward Island,Paper manufacturing,
2013,Prince Edward Island,Support activities for forestry,
2013,Prince Edward Island,Wood product manufacturing,144
2013,Quebec,Forestry and logging,6560
2013,Quebec,Paper manufacturing,23969
2013,Quebec,Support activities for forestry,2966
2013,Quebec,Wood product manufacturing,27836
2013,Saskatchewan,Forestry and logging,
2013,Saskatchewan,Paper manufacturing,
2013,Saskatchewan,Support activities for forestry,
2013,Saskatchewan,Wood product manufacturing,2123
2013,Yukon,Forestry and logging,
2013,Yukon,Paper manufacturing,
2013,Yukon,Support activities for forestry,
2013,Yukon,Wood product manufacturing,
2014,Canada,Forestry and logging,26765
2014,Canada,Paper manufacturing,56800
2014,Canada,Support activities for forestry,11820
2014,Canada,Wood product manufacturing,93887
2014,Alberta,Forestry and logging,2319
2014,Alberta,Paper manufacturing,3517
2014,Alberta,Support activities for forestry,1152
2014,Alberta,Wood product manufacturing,12013
2014,British Columbia,Forestry and logging,11775
2014,British Columbia,Paper manufacturing,8246
2014,British Columbia,Support activities for forestry,4327
