Year,Jurisdiction,Sector,Number of jobs
2012,Yukon,Forestry and logging,25
2012,Yukon,Paper manufacturing,0
2012,Yukon,Support activities for forestry,15
2012,Yukon,Wood product manufacturing,50
2013,Canada,Forestry and logging,33275
2013,Canada,Paper manufacturing,58495
2013,Canada,Support activities for forestry,21140
2013,Canada,Wood product manufacturing,93915
2013,Alberta,Forestry and logging,2620
2013,Alberta,Paper manufacturing,2935
2013,Alberta,Support activities for forestry,1555
2013,Alberta,Wood product manufacturing,10090
2013,British Columbia,Forestry and logging,12405
2013,British Columbia,Paper manufacturing,9145
2013,British Columbia,Support activities for forestry,7545
2013,British Columbia,Wood product manufacturing,26990
2013,Manitoba,Forestry and logging,330
2013,Manitoba,Paper manufacturing,1150
2013,Manitoba,Support activities for forestry,485
2013,Manitoba,Wood product manufacturing,2640
2013,New Brunswick,Forestry and logging,2650
2013,New Brunswick,Paper manufacturing,3000
2013,New Brunswick,Support activities for forestry,1000
2013,New Brunswick,Wood product manufacturing,4030
2013,Newfoundland and Labrador,Forestry and logging,360
2013,Newfoundland and Labrador,Paper manufacturing,245
2013,Newfoundland and Labrador,Support activities for forestry,170
2013,Newfoundland and Labrador,Wood product manufacturing,375
2013,Northwest Territories,Forestry and logging,10
2013,Northwest Territories,Paper manufacturing,0
2013,Northwest Territories,Support activities for forestry,140
2013,Northwest Territories,Wood product manufacturing,5
2013,Nova Scotia,Forestry and logging,995
2013,Nova Scotia,Paper manufacturing,920
2013,Nova Scotia,Support activities for forestry,475
2013,Nova Scotia,Wood product manufacturing,1885
2013,Nunavut,Forestry and logging,0
2013,Nunavut,Paper manufacturing,0
2013,Nunavut,Support activities for forestry,0
2013,Nunavut,Wood product manufacturing,0
2013,Ontario,Forestry and logging,4335
2013,Ontario,Paper manufacturing,20415
2013,Ontario,Support activities for forestry,3405
2013,Ontario,Wood product manufacturing,17260
2013,Prince Edward Island,Forestry and logging,50
2013,Prince Edward Island,Paper manufacturing,200
2013,Prince Edward Island,Support activities for forestry,35
2013,Prince Edward Island,Wood product manufacturing,110
2013,Quebec,Forestry and logging,9150
2013,Quebec,Paper manufacturing,20260
2013,Quebec,Support activities for forestry,5460
