Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,55.4,55.4,53,53
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,28425,28425,12,12
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,362.78,362.78,288,288
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2.8,2.8,3,3
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,2.33,2.33,11,11
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,84.47,84.47,67,67
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,856783.73,856783.73,398,398
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brulage dirige,7400,7400,2,2
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,17.63,17.63,6,6
1993,1993,ON,Ontario,Ontario,Human activity,Activites humaines,9016.000001,9016.000001,562,562
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,95608.6,95608.6,163,163
1993,1993,ON,Ontario,Ontario,Unspecified,Indeterminee,40.20000001,40.20000001,17,17
1993,1993,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,78,78,23,23
1993,1993,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1993,1993,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,9,9,6,6
1993,1993,QC,Quebec,Quebec,Human activity,Activites humaines,1062.2,1062.2,432,432
1993,1993,QC,Quebec,Quebec,Lightning,Foudre,127171.8,127171.8,111,111
1993,1993,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,132315.19,132315.19,462,462
1993,1993,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,475884.65,475884.65,183,183
1993,1993,YT,Yukon,Yukon,Human activity,Activites humaines,56.58,56.58,59,59
1993,1993,YT,Yukon,Yukon,Lightning,Foudre,115047.73,115047.73,77,77
1994,1994,AB,Alberta,Alberta,Human activity,Activites humaines,2484.8,2484.8,361,361
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,94198.58,94198.58,551,551
1994,1994,AB,Alberta,Alberta,Unspecified,Indeterminee,43.35,43.35,19,19
1994,1994,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,12017.1,12017.1,1169,1169
1994,1994,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,17738.2,17738.2,2888,2888
1994,1994,MB,Manitoba,Manitoba,Human activity,Activites humaines,471729.6,471729.6,134,134
1994,1994,MB,Manitoba,Manitoba,Lightning,Foudre,957056.1,957056.1,421,421
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,752,752,433,433
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,2.9,2.9,15,15
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,98.4,98.4,70,70
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,1309.7,1309.7,122,122
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,108964.5,108964.5,7,7
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,237.23,237.23,244,244
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,5.21,5.21,19,19
