Year,Product,Unit,Production,Exports,Imports,Consumption
2019,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8453459.969,6353081,1481466,3581844
2019,Wood pulp,Tonnes,15421000,9675655,814666,6560011
2020,Lumber - hardwood,Cubic Metres,997200,488546,480717,989371
2020,Lumber - softwood,Cubic Metres,54718300,36446211,865702,19137791
2020,Newsprint,Tonnes,1957000,1987081,27358,-2723
2020,Printing and writing paper,Tonnes,2266000,1729183.001,323561.904,860378
2020,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8301256.985,5793106,1207865,3716015
2020,Wood pulp,Tonnes,14299000,9018360,637996,5918636
2021,Lumber - hardwood,Cubic Metres,880100,464508,616521,1032113
2021,Lumber - softwood,Cubic Metres,55841700,37104457,1028635,19765878
2021,Newsprint,Tonnes,1888000,1994671,15526,-91145
2021,Printing and writing paper,Tonnes,2434000,1785738.848,340350.4635,988611
2021,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8938385.759,6380167,1529732,4087950
2021,Wood pulp,Tonnes,14260000,8703465,1038746,6595281
2022,Lumber - hardwood,Cubic Metres,858800,436292,612373,1034881
2022,Lumber - softwood,Cubic Metres,50552600,33494582,849303,17907321
2022,Newsprint,Tonnes,1839000,1906894,2816,-65078
2022,Printing and writing paper,Tonnes,2599000,1887619.857,409096.4124,1120476
2022,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8872903.079,6261864,1175590,3786629
2022,Wood pulp,Tonnes,13583000,8666770,531879,5448109
