Year,Annee,Jurisdiction,Juridiction,ISO,Forest-certification-by-type,Certification-forestiere-par-type,Area,Superficie
2001,2001,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,630000,630000
2001,2001,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,630000,630000
2001,2001,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,27023,27023
2001,2001,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,27023,27023
2001,2001,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,3540000,3540000
2002,2002,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,3540000,3540000
2002,2002,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,28220593,28220593
2002,2002,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,1030043,1030043
2002,2002,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,12750550,12750550
2002,2002,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,14440000,14440000
2002,2002,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,14919680,14919680
2002,2002,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,89130,89130
2002,2002,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,9530550,9530550
2002,2002,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,5330000,5330000
2002,2002,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,2450000,2450000
2002,2002,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2450000,2450000
2002,2002,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1400384,1400384
2002,2002,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,384,384
2002,2002,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,770000,770000
2002,2002,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,630000,630000
2002,2002,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2002,2002,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2002,2002,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,913465,913465
2002,2002,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,913465,913465
2002,2002,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2002,2002,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,0,0
2002,2002,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,27064,27064
2002,2002,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,27064,27064
2002,2002,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
