Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Superficie
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Large aspen tortrix,Tordeuse du tremble,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Spruce beetle,Dendroctone de l'epinette,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Aspen twoleaf tier,Noctuelle decolorie,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Other,Autres,0,0
2000,2000,QC,Quebec,Quebec,Spruce budworm,Tordeuse des bourgeons de l'epinette,8039,8039
2000,2000,QC,Quebec,Quebec,Jack pine budworm,Tordeuse du pin gris,0,0
2000,2000,QC,Quebec,Quebec,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2000,2000,QC,Quebec,Quebec,Hemlock looper,Arpenteuse de la pruche,879523,879523
2000,2000,QC,Quebec,Quebec,Forest tent caterpillar,Livree des forets,472095,472095
2000,2000,QC,Quebec,Quebec,Spongy moth,Spongieuse,2,2
2000,2000,QC,Quebec,Quebec,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2000,2000,QC,Quebec,Quebec,Balsam fir sawfly,Diprion du sapin,0,0
2000,2000,QC,Quebec,Quebec,Swaine jack pine sawfly,Diprion de Swaine,0,0
2000,2000,QC,Quebec,Quebec,Bruce spanworm,Arpenteuse de Bruce,0,0
2000,2000,QC,Quebec,Quebec,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2000,2000,QC,Quebec,Quebec,Large aspen tortrix,Tordeuse du tremble,1885,1885
2000,2000,QC,Quebec,Quebec,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2000,2000,QC,Quebec,Quebec,Spruce beetle,Dendroctone de l'epinette,0,0
2000,2000,QC,Quebec,Quebec,Aspen twoleaf tier,Noctuelle decolorie,0,0
2000,2000,QC,Quebec,Quebec,Other,Autres,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce budworm,Tordeuse des bourgeons de l'epinette,265776,265776
2000,2000,SK,Saskatchewan,Saskatchewan,Jack pine budworm,Tordeuse du pin gris,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Hemlock looper,Arpenteuse de la pruche,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Forest tent caterpillar,Livree des forets,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Spongy moth,Spongieuse,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Balsam fir sawfly,Diprion du sapin,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Swaine jack pine sawfly,Diprion de Swaine,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Bruce spanworm,Arpenteuse de Bruce,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Large aspen tortrix,Tordeuse du tremble,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce beetle,Dendroctone de l'epinette,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Aspen twoleaf tier,Noctuelle decolorie,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Other,Autres,0,0
2000,2000,YT,Yukon,Yukon,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,0
