Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Data_qualifier,Superficie,Qualificatifs_de_donnees
2000,2000,SK,Saskatchewan,Saskatchewan,Forest tent caterpillar,Livree des forets,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Spongy moth,Spongieuse,0,n,0,n
2000,2000,SK,Saskatchewan,Saskatchewan,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,SK,Saskatchewan,Saskatchewan,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Other,Autres,0,a,0,a
2000,2000,YT,Yukon,Yukon,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,u,0,u
2000,2000,YT,Yukon,Yukon,Jack pine budworm,Tordeuse du pin gris,0,u,0,u
2000,2000,YT,Yukon,Yukon,Mountain pine beetle,Dendroctone du pin ponderosa,0,u,0,u
2000,2000,YT,Yukon,Yukon,Hemlock looper,Arpenteuse de la pruche,0,u,0,u
2000,2000,YT,Yukon,Yukon,Forest tent caterpillar,Livree des forets,0,u,0,u
2000,2000,YT,Yukon,Yukon,Spongy moth,Spongieuse,0,u,0,u
2000,2000,YT,Yukon,Yukon,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,u,0,u
2000,2000,YT,Yukon,Yukon,Balsam fir sawfly,Diprion du sapin,0,u,0,u
2000,2000,YT,Yukon,Yukon,Swaine jack pine sawfly,Diprion de Swaine,0,u,0,u
2000,2000,YT,Yukon,Yukon,Bruce spanworm,Arpenteuse de Bruce,0,u,0,u
2000,2000,YT,Yukon,Yukon,Western spruce budworm,Tordeuse occidentale de l'epinette,0,u,0,u
2000,2000,YT,Yukon,Yukon,Large aspen tortrix,Tordeuse du tremble,0,u,0,u
2000,2000,YT,Yukon,Yukon,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,u,0,u
2000,2000,YT,Yukon,Yukon,Spruce beetle,Dendroctone de l'epinette,45600,a,45600,a
2000,2000,YT,Yukon,Yukon,Aspen twoleaf tier,Noctuelle decolorie,0,u,0,u
2000,2000,YT,Yukon,Yukon,Other,Autres,0,u,0,u
2001,2001,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'epinette,115572,a,115572,a
2001,2001,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2001,2001,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
2001,2001,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2001,2001,AB,Alberta,Alberta,Forest tent caterpillar,Livree des forets,0,a,0,a
2001,2001,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,n,0,n
2001,2001,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2001,2001,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2001,2001,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2001,2001,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2001,2001,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'epinette,0,a,0,a
2001,2001,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,3368106,a,3368106,a
2001,2001,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,a,0,a
2001,2001,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2001,2001,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2001,2001,AB,Alberta,Alberta,Other,Autres,0,a,0,a
2001,2001,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'epinette,1612314,a,1612314,a
2001,2001,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
2001,2001,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,785497,a,785497,a
2001,2001,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,6801,a,6801,a
2001,2001,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livree des forets,60415,a,60415,a
2001,2001,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,n,0,n
2001,2001,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,u,0,u
2001,2001,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,u,0,u
2001,2001,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,u,0,u
2001,2001,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,0,u,0,u
2001,2001,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'epinette,123638,a,123638,a
2001,2001,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2001,2001,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,121260,a,121260,a
2001,2001,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'epinette,100599,a,100599,a
2001,2001,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle decolorie,0,u,0,u
2001,2001,BC,British Columbia,Colombie-Britannique,Other,Autres,1103057,a,1103057,a
2001,2001,MB,Manitoba,Manitoba,Spruce budworm,Tordeuse des bourgeons de l'epinette,95939,r,95939,r
2001,2001,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2001,2001,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Forest tent caterpillar,Livree des forets,0,u,0,u
2001,2001,MB,Manitoba,Manitoba,Spongy moth,Spongieuse,0,n,0,n
2001,2001,MB,Manitoba,Manitoba,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2001,2001,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2001,2001,MB,Manitoba,Manitoba,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2001,2001,MB,Manitoba,Manitoba,Other,Autres,0,a,0,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,a,0,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,760,a,760,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Forest tent caterpillar,Livree des forets,0,u,0,u
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Spongy moth,Spongieuse,1164,a,1164,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Balsam fir sawfly,Diprion du sapin,0,u,0,u
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Swaine jack pine sawfly,Diprion de Swaine,0,u,0,u
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Bruce spanworm,Arpenteuse de Bruce,0,u,0,u
