Year,Jurisdiction,NAICS,Value
2004,Northwest Territories including Nunavut,Support activities for forestry,0
2004,Northwest Territories including Nunavut,Wood product manufacturing,0
2004,Nunavut,Forestry and logging,0
2004,Nunavut,Paper manufacturing,0
2004,Nunavut,Support activities for forestry,0
2004,Nunavut,Wood product manufacturing,0
2005,Canada,Forestry and logging,56670
2005,Canada,Paper manufacturing,90040
2005,Canada,Support activities for forestry,20240
2005,Canada,Wood product manufacturing,153985
2005,Alberta,Forestry and logging,2885
2005,Alberta,Paper manufacturing,3595
2005,Alberta,Support activities for forestry,1760
2005,Alberta,Wood product manufacturing,12330
2005,British Columbia,Forestry and logging,23385
2005,British Columbia,Paper manufacturing,13600
2005,British Columbia,Support activities for forestry,6820
2005,British Columbia,Wood product manufacturing,46420
2005,Manitoba,Forestry and logging,565
2005,Manitoba,Paper manufacturing,2020
2005,Manitoba,Support activities for forestry,635
2005,Manitoba,Wood product manufacturing,4860
2005,New Brunswick,Forestry and logging,3490
2005,New Brunswick,Paper manufacturing,2705
2005,New Brunswick,Support activities for forestry,1255
2005,New Brunswick,Wood product manufacturing,6725
2005,Newfoundland and Labrador,Forestry and logging,900
2005,Newfoundland and Labrador,Paper manufacturing,760
2005,Newfoundland and Labrador,Support activities for forestry,255
2005,Newfoundland and Labrador,Wood product manufacturing,545
2005,Northwest Territories,Forestry and logging,15
2005,Northwest Territories,Paper manufacturing,0
2005,Northwest Territories,Support activities for forestry,160
2005,Northwest Territories,Wood product manufacturing,10
2005,Nova Scotia,Forestry and logging,2195
2005,Nova Scotia,Paper manufacturing,2230
2005,Nova Scotia,Support activities for forestry,600
2005,Nova Scotia,Wood product manufacturing,3385
2005,Ontario,Forestry and logging,8565
2005,Ontario,Paper manufacturing,33565
2005,Ontario,Support activities for forestry,2605
2005,Ontario,Wood product manufacturing,34185
2005,Prince Edward Island,Forestry and logging,65
2005,Prince Edward Island,Paper manufacturing,125
2005,Prince Edward Island,Support activities for forestry,15
2005,Prince Edward Island,Wood product manufacturing,360
2005,Quebec,Forestry and logging,13900
2005,Quebec,Paper manufacturing,29960
2005,Quebec,Support activities for forestry,4955
2005,Quebec,Wood product manufacturing,41870
2005,Saskatchewan,Forestry and logging,680
2005,Saskatchewan,Paper manufacturing,1480
2005,Saskatchewan,Support activities for forestry,1170
2005,Saskatchewan,Wood product manufacturing,3270
2005,Yukon,Forestry and logging,25
2005,Yukon,Paper manufacturing,0
2005,Yukon,Support activities for forestry,10
2005,Yukon,Wood product manufacturing,25
2005,Northwest Territories including Nunavut,Forestry and logging,0
2005,Northwest Territories including Nunavut,Paper manufacturing,0
2005,Northwest Territories including Nunavut,Support activities for forestry,0
2005,Northwest Territories including Nunavut,Wood product manufacturing,0
2005,Nunavut,Forestry and logging,0
2005,Nunavut,Paper manufacturing,0
2005,Nunavut,Support activities for forestry,0
2005,Nunavut,Wood product manufacturing,0
2006,Canada,Forestry and logging,49955
2006,Canada,Paper manufacturing,83210
2006,Canada,Support activities for forestry,21390
2006,Canada,Wood product manufacturing,136805
2006,Alberta,Forestry and logging,3030
2006,Alberta,Paper manufacturing,3850
2006,Alberta,Support activities for forestry,1885
2006,Alberta,Wood product manufacturing,12505
2006,British Columbia,Forestry and logging,18770
2006,British Columbia,Paper manufacturing,13350
