Année,Juridiction,SCIAN,Valeur
2004,Terre-Neuve-et-Labrador,Fabrication du papier,825
2004,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,270
2004,Terre-Neuve-et-Labrador,Fabrication de produits en bois,595
2004,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2004,Territoires du Nord-Ouest,Fabrication du papier,0
2004,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2004,Territoires du Nord-Ouest,Fabrication de produits en bois,15
2004,Nouvelle-Écosse,Foresterie et exploitation forestière,2285
2004,Nouvelle-Écosse,Fabrication du papier,2170
2004,Nouvelle-Écosse,Activités de soutien à la foresterie,630
2004,Nouvelle-Écosse,Fabrication de produits en bois,3500
2004,Ontario,Foresterie et exploitation forestière,8010
2004,Ontario,Fabrication du papier,35020
2004,Ontario,Activités de soutien à la foresterie,2230
2004,Ontario,Fabrication de produits en bois,36180
2004,Île-du-Prince-Édouard,Foresterie et exploitation forestière,80
2004,Île-du-Prince-Édouard,Fabrication du papier,105
2004,Île-du-Prince-Édouard,Activités de soutien à la foresterie,25
2004,Île-du-Prince-Édouard,Fabrication de produits en bois,335
2004,Québec,Foresterie et exploitation forestière,13570
2004,Québec,Fabrication du papier,27860
2004,Québec,Activités de soutien à la foresterie,4965
2004,Québec,Fabrication de produits en bois,43355
2004,Saskatchewan,Foresterie et exploitation forestière,840
2004,Saskatchewan,Fabrication du papier,1625
2004,Saskatchewan,Activités de soutien à la foresterie,1340
2004,Saskatchewan,Fabrication de produits en bois,3825
2004,Yukon,Foresterie et exploitation forestière,30
2004,Yukon,Fabrication du papier,0
2004,Yukon,Activités de soutien à la foresterie,10
2004,Yukon,Fabrication de produits en bois,15
2004,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2004,Territoires du Nord-Ouest,Fabrication du papier,0
2004,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2004,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2004,Nunavut,Foresterie et exploitation forestière,0
2004,Nunavut,Fabrication du papier,0
2004,Nunavut,Activités de soutien à la foresterie,0
2004,Nunavut,Fabrication de produits en bois,0
2005,Canada,Foresterie et exploitation forestière,56670
2005,Canada,Fabrication du papier,90040
2005,Canada,Activités de soutien à la foresterie,20240
2005,Canada,Fabrication de produits en bois,153985
2005,Alberta,Foresterie et exploitation forestière,2885
2005,Alberta,Fabrication du papier,3595
2005,Alberta,Activités de soutien à la foresterie,1760
2005,Alberta,Fabrication de produits en bois,12330
2005,Colombie-Britannique,Foresterie et exploitation forestière,23385
2005,Colombie-Britannique,Fabrication du papier,13600
2005,Colombie-Britannique,Activités de soutien à la foresterie,6820
2005,Colombie-Britannique,Fabrication de produits en bois,46420
2005,Manitoba,Foresterie et exploitation forestière,565
2005,Manitoba,Fabrication du papier,2020
2005,Manitoba,Activités de soutien à la foresterie,635
2005,Manitoba,Fabrication de produits en bois,4860
2005,Nouveau-Brunswick,Foresterie et exploitation forestière,3490
2005,Nouveau-Brunswick,Fabrication du papier,2705
2005,Nouveau-Brunswick,Activités de soutien à la foresterie,1255
2005,Nouveau-Brunswick,Fabrication de produits en bois,6725
2005,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,900
2005,Terre-Neuve-et-Labrador,Fabrication du papier,760
