Year,Année,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espèce,Area,Data_qualifier,Superficie,Qualificatifs_de_données
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Western spruce budworm,Tordeuse occidentale de l'épinette,0,n,0,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Large aspen tortrix,Tordeuse du tremble,0,u,0,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,n,0,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce beetle,Dendroctone de l'épinette,0,n,0,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Aspen twoleaf tier,Noctuelle décolorie,0,n,0,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Other,Autres,0,u,0,u
1990,1990,ON,Ontario,Ontario,Spruce budworm,Tordeuse des bourgeons de l'épinette,6783261,a,6783261,a
1990,1990,ON,Ontario,Ontario,Jack pine budworm,Tordeuse du pin gris,30325,a,30325,a
1990,1990,ON,Ontario,Ontario,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
1990,1990,ON,Ontario,Ontario,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
1990,1990,ON,Ontario,Ontario,Forest tent caterpillar,Livrée des forêts,9480408,a,9480408,a
1990,1990,ON,Ontario,Ontario,Spongy moth,Spongieuse,77648,a,77648,a
1990,1990,ON,Ontario,Ontario,Blackheaded budworm,Tordeuse à tête noire de l'épinette,0,a,0,a
1990,1990,ON,Ontario,Ontario,Balsam fir sawfly,Diprion du sapin,0,a,0,a
1990,1990,ON,Ontario,Ontario,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
1990,1990,ON,Ontario,Ontario,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
1990,1990,ON,Ontario,Ontario,Western spruce budworm,Tordeuse occidentale de l'épinette,0,a,0,a
1990,1990,ON,Ontario,Ontario,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
1990,1990,ON,Ontario,Ontario,Two-year-cycle spruce budworm,Tordeuse à cycle de deux ans,0,a,0,a
1990,1990,ON,Ontario,Ontario,Spruce beetle,Dendroctone de l'épinette,0,a,0,a
1990,1990,ON,Ontario,Ontario,Aspen twoleaf tier,Noctuelle décolorie,0,a,0,a
1990,1990,ON,Ontario,Ontario,Other,Autres,0,u,0,u
