Year,Annee,ISO,Jurisdiction,Juridiction,Category,Categorie,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Volume
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Softwoods,Resineux,Provincial land,Terres provinciales,413770
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Softwoods,Resineux,Private land,Terres privees,177330
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Provincial land,Terres provinciales,1500
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Private land,Terres privees,8500
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,318959
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,1518514
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Provincial land,Terres provinciales,308535
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Private land,Terres privees,35000
