Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2020,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),346639770
2020,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2377865179
2020,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),297009654
2020,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),494462899
2020,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),10042965155
2020,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),353964996
2021,Canada,Exports,Primary Wood Products,Logs (cubic metres),622556573
2021,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),27097046
2021,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1354085192
2021,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),4816164503
2021,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7295682464
2021,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),417414836
2021,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4828459763
2021,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),319007599
2021,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),651795099
2021,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),16434499887
2021,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),517570541
2022,Canada,Exports,Primary Wood Products,Logs (cubic metres),684417531
2022,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),32330771
2022,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1828670099
2022,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5879453154
2022,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),8478207298
2022,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),431010925
2022,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4020392207
2022,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),368400052
2022,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),707421820
2022,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),13649891620
2022,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),583451352
2023,Canada,Exports,Primary Wood Products,Logs (cubic metres),638797821
2023,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),24174538
2023,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),1700702226
2023,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),5378120731
2023,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),7154604253
2023,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),326957349
2023,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),2515365383
2023,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),331665402
2023,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),659270719
2023,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),8440748208
2023,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),439609264
