Year,Jurisdiction,Export market,Value (dollars)
2004,Manitoba,Eurpoean Union,2663628
2004,Manitoba,India,876153
2004,Manitoba,Japan,3184943
2004,Manitoba,Middle East,4337314
2004,Manitoba,Oceania,978003
2004,Manitoba,Other,2828811
2004,Manitoba,South & Central America,5291868
2004,Manitoba,South Korea,2260333
2004,Manitoba,Taiwan,72742
2004,Manitoba,United States,719794406
2004,New Brunswick,Africa,12420700
2004,New Brunswick,China,12350656
2004,New Brunswick,Eurpoean Union,105107073
2004,New Brunswick,India,54829751
2004,New Brunswick,Japan,24894990
2004,New Brunswick,Middle East,19974175
2004,New Brunswick,Oceania,237982
2004,New Brunswick,Other,54588669
2004,New Brunswick,South & Central America,31404098
2004,New Brunswick,South Korea,21939814
2004,New Brunswick,Taiwan,4251443
2004,New Brunswick,United States,2122447505
2004,Newfoundland and Labrador,Africa,3819149
2004,Newfoundland and Labrador,China,23186
2004,Newfoundland and Labrador,Eurpoean Union,159085523
2004,Newfoundland and Labrador,India,12463146
2004,Newfoundland and Labrador,Japan,46383
2004,Newfoundland and Labrador,Middle East,41221147
2004,Newfoundland and Labrador,Other,1872543
2004,Newfoundland and Labrador,South & Central America,92059963
2004,Newfoundland and Labrador,United States,211988675
2004,Nova Scotia,Africa,267804
2004,Nova Scotia,China,756707
2004,Nova Scotia,Eurpoean Union,138854824
2004,Nova Scotia,India,26770808
2004,Nova Scotia,Japan,3932865
2004,Nova Scotia,Middle East,3230320
2004,Nova Scotia,Oceania,85781
2004,Nova Scotia,Other,25399431
2004,Nova Scotia,South & Central America,85957083
2004,Nova Scotia,South Korea,9500021
2004,Nova Scotia,Taiwan,12438508
2004,Nova Scotia,United States,725166295
2004,Nunavut,Eurpoean Union,1029
2004,Nunavut,Other,27622
2004,Nunavut,South & Central America,130
2004,Ontario,Africa,1702214
2004,Ontario,China,38654283
2004,Ontario,Eurpoean Union,114899975
2004,Ontario,India,3358850
2004,Ontario,Japan,20420162
2004,Ontario,Middle East,44184055
2004,Ontario,Oceania,6633414
2004,Ontario,Other,20025458
2004,Ontario,South & Central America,67770411
2004,Ontario,South Korea,4995088
2004,Ontario,Taiwan,4584495
2004,Ontario,United States,8726137982
2004,Prince Edward Island,Eurpoean Union,113945
2004,Prince Edward Island,Other,75954
2004,Prince Edward Island,South & Central America,84622
2004,Prince Edward Island,United States,18672156
2004,Quebec,Africa,21259359
2004,Quebec,China,179134666
2004,Quebec,Eurpoean Union,758667187
2004,Quebec,India,64846032
2004,Quebec,Japan,41108764
2004,Quebec,Middle East,171016537
2004,Quebec,Oceania,23698071
2004,Quebec,Other,80103160
2004,Quebec,South & Central America,173330479
2004,Quebec,South Korea,16854214
2004,Quebec,Taiwan,36869483
2004,Quebec,United States,10382073775
2004,Saskatchewan,China,28806621
2004,Saskatchewan,Eurpoean Union,91851016
2004,Saskatchewan,India,11051
2004,Saskatchewan,Japan,23453540
2004,Saskatchewan,Oceania,7065
2004,Saskatchewan,Other,1948640
2004,Saskatchewan,South & Central America,7962529
2004,Saskatchewan,South Korea,22489253
2004,Saskatchewan,Taiwan,13603259
2004,Saskatchewan,United States,620285887
2004,Yukon,United States,961842
2005,Canada,Africa,44436651
2005,Canada,China,1026726403
2005,Canada,Eurpoean Union,2345238832
2005,Canada,India,281816282
2005,Canada,Japan,1849698763
2005,Canada,Middle East,461372924
2005,Canada,Oceania,140779368
2005,Canada,Other,548970213
2005,Canada,South & Central America,737770578
2005,Canada,South Korea,443780441
2005,Canada,Taiwan,281251735
2005,Canada,United States,33959931053
2005,Alberta,Africa,45443
2005,Alberta,China,108511329
2005,Alberta,Eurpoean Union,125882914
2005,Alberta,India,18069
2005,Alberta,Japan,200053125
2005,Alberta,Middle East,2601470
2005,Alberta,Oceania,7828004
2005,Alberta,Other,37039561
2005,Alberta,South & Central America,17799390
2005,Alberta,South Korea,156356953
2005,Alberta,Taiwan,31042502
2005,Alberta,United States,2329232536
2005,British Columbia,Africa,7353299
2005,British Columbia,China,685746233
2005,British Columbia,Eurpoean Union,950239069
2005,British Columbia,India,120463895
2005,British Columbia,Japan,1580415151
2005,British Columbia,Middle East,42581893
2005,British Columbia,Oceania,101956458
2005,British Columbia,Other,285204703
2005,British Columbia,South & Central America,246575742
2005,British Columbia,South Korea,235054219
2005,British Columbia,Taiwan,186662182
2005,British Columbia,United States,9377773978
2005,Manitoba,Africa,541196
2005,Manitoba,China,565837
2005,Manitoba,Eurpoean Union,8533999
2005,Manitoba,India,926453
2005,Manitoba,Japan,1348116
2005,Manitoba,Middle East,3866612
2005,Manitoba,Oceania,1126990
2005,Manitoba,Other,2228427
2005,Manitoba,South & Central America,7815887
2005,Manitoba,South Korea,768964
2005,Manitoba,Taiwan,200628
