Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),3873
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),795
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Plywood (cubic metres),2464
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1106
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Veneer (square metres),1510244
2000,Yukon,Imports,Primary Wood Products,Logs (cubic metres),61
2000,Yukon,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2
2001,Canada,Imports,Primary Wood Products,Logs (cubic metres),4337184
2001,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2588953
2001,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),47239
2001,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2842791
2001,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),263092
2001,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1035702
2001,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),116027
2001,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),301809
2001,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),515929
2001,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),563443
2001,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),122287537
2001,Alberta,Imports,Primary Wood Products,Logs (cubic metres),1092
2001,Alberta,Imports,Pulp and Paper Products,Newsprint (tonnes),372
2001,Alberta,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),60061
2001,Alberta,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),20788
2001,Alberta,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),15928
2001,Alberta,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),4987
2001,Alberta,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),12037
2001,Alberta,Imports,Wood-Fabricated Materials,Plywood (cubic metres),4462
