Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2015,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),160154576
2016,Canada,Imports,Primary Wood Products,Logs (cubic metres),345488395
2016,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),38760370
2016,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),32904314
2016,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3322273814
2016,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),253130103
2016,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),341763432
2016,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),38670932
2016,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),86067658
2016,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),467932920
2016,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),273463137
2016,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),157599076
2017,Canada,Imports,Primary Wood Products,Logs (cubic metres),338124182
2017,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),15899485
2017,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),31455386
2017,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3469368715
2017,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),271163764
2017,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),346228309
2017,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),50309340
2017,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),80337874
2017,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),483923055
2017,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),268500045
2017,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),168235144
2018,Canada,Imports,Primary Wood Products,Logs (cubic metres),361563443
2018,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),49303839
2018,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),27768913
2018,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3587400393
2018,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),326642696
2018,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),347522962
2018,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),44452726
2018,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),90595613
2018,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),542360222
2018,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),279023503
2018,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),182830624
2019,Canada,Imports,Primary Wood Products,Logs (cubic metres),331351223
2019,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),64981626
2019,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),25281049
2019,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3508527406
2019,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),336490621
2019,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),337777964
2019,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),54644860
2019,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),108984538
2019,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),499681194
2019,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),247436913
2019,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),170730679
2020,Canada,Imports,Primary Wood Products,Logs (cubic metres),274201895
2020,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),70238844
2020,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),19411954
2020,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3236518045
2020,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),322926142
2020,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),282240988
2020,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),58084412
2020,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),130499408
2020,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),495605217
2020,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),262375033
2020,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),157859345
2021,Canada,Imports,Primary Wood Products,Logs (cubic metres),309684173
2021,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),62427932
2021,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),14180217
2021,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3520013098
2021,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),361465060
2021,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),436967131
2021,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),72597350
2021,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),170223468
2021,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),786423214
2021,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),434934072
2021,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),191919961
2022,Canada,Imports,Primary Wood Products,Logs (cubic metres),313831475
2022,Canada,Imports,Primary Wood Products,Plywood (cubic metres),23256247
2022,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),72849907
2022,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),5476327
2022,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),4455403614
2022,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),454647619
2022,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),451271387
2022,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),39893901
2022,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),79184102
2022,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),203590560
2022,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),757123254
2022,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),390561251
2022,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),239022787
2023,Canada,Imports,Primary Wood Products,Logs (cubic metres),316603469
2023,Canada,Imports,Primary Wood Products,Plywood (cubic metres),23925459
2023,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),76199171
2023,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),4572260
2023,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),4063489620
2023,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),509793919
2023,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),342608298
2023,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),40306402
2023,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),75526763
2023,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),181901230
2023,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),542072326
2023,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),328708950
2023,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),255589311
