Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2001,Alberta,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3277735
2001,Alberta,Exports,Wood-Fabricated Materials,Veneer (square metres),11120630
2001,British Columbia,Exports,Primary Wood Products,Logs (cubic metres),2811614
2001,British Columbia,Exports,Primary Wood Products,Pulpwood (cubic metres),1727
2001,British Columbia,Exports,Pulp and Paper Products,Newsprint (tonnes),1007859
2001,British Columbia,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1366293
2001,British Columbia,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),4872267
2001,British Columbia,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),115063
2001,British Columbia,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1519345
2001,British Columbia,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),222928
2001,British Columbia,Exports,Wood-Fabricated Materials,Plywood (cubic metres),621870
2001,British Columbia,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),26302148
2001,British Columbia,Exports,Wood-Fabricated Materials,Veneer (square metres),177328916
2001,Manitoba,Exports,Primary Wood Products,Logs (cubic metres),2652
2001,Manitoba,Exports,Primary Wood Products,Pulpwood (cubic metres),43
2001,Manitoba,Exports,Pulp and Paper Products,Newsprint (tonnes),123334
2001,Manitoba,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),92013
2001,Manitoba,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),279
2001,Manitoba,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),14912
2001,Manitoba,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),364491
2001,Manitoba,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),20425
2001,Manitoba,Exports,Wood-Fabricated Materials,Plywood (cubic metres),850
2001,Manitoba,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),539068
2001,Manitoba,Exports,Wood-Fabricated Materials,Veneer (square metres),50
2001,New Brunswick,Exports,Primary Wood Products,Logs (cubic metres),23757
2001,New Brunswick,Exports,Pulp and Paper Products,Newsprint (tonnes),348289
2001,New Brunswick,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),685291
2001,New Brunswick,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),884471
2001,New Brunswick,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),61650
2001,New Brunswick,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),271338
2001,New Brunswick,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),49461
2001,New Brunswick,Exports,Wood-Fabricated Materials,Plywood (cubic metres),2889
2001,New Brunswick,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),3031024
2001,New Brunswick,Exports,Wood-Fabricated Materials,Veneer (square metres),1256183
2001,Newfoundland and Labrador,Exports,Pulp and Paper Products,Newsprint (tonnes),743359
2001,Newfoundland and Labrador,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),1254
2001,Newfoundland and Labrador,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),341
