Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2004,Quebec,Primary Wood Products,410160245,49898093,-360262152
2004,Quebec,Pulp and Paper Products,1118362984,7264001742,6145638758
2004,Quebec,Wood-Fabricated Materials,581264327,4635061892,4053797565
2004,Saskatchewan,Primary Wood Products,209548,5252327,5042779
2004,Saskatchewan,Pulp and Paper Products,53782240,437030256,383248016
2004,Saskatchewan,Wood-Fabricated Materials,30872123,368136278,337264155
2004,Yukon,Primary Wood Products,0,100659,100659
2004,Yukon,Pulp and Paper Products,5939,0,-5939
2004,Yukon,Wood-Fabricated Materials,5950,861183,855233
2005,Canada,Primary Wood Products,628691679,942695609,314003930
2005,Canada,Pulp and Paper Products,6626196017,21843674303,15217478286
2005,Canada,Wood-Fabricated Materials,2907547019,19335403331,16427856312
2005,Alberta,Primary Wood Products,1461134,25220017,23758883
2005,Alberta,Pulp and Paper Products,177061444,1414815533,1237754089
2005,Alberta,Wood-Fabricated Materials,140039729,1576375746,1436336017
2005,British Columbia,Primary Wood Products,45588556,702040585,656452029
2005,British Columbia,Pulp and Paper Products,676306795,4656692437,3980385642
2005,British Columbia,Wood-Fabricated Materials,664949682,8461293800,7796344118
2005,Manitoba,Primary Wood Products,2602548,1960037,-642511
2005,Manitoba,Pulp and Paper Products,268557301,285592386,17035085
2005,Manitoba,Wood-Fabricated Materials,119466624,446872261,327405637
2005,New Brunswick,Primary Wood Products,91225518,7661162,-83564356
2005,New Brunswick,Pulp and Paper Products,112940199,975580589,862640390
2005,New Brunswick,Wood-Fabricated Materials,59028102,950337197,891309095
2005,Newfoundland and Labrador,Primary Wood Products,12959,4410,-8549
2005,Newfoundland and Labrador,Pulp and Paper Products,11340819,526191065,514850246
2005,Newfoundland and Labrador,Wood-Fabricated Materials,172211,11801764,11629553
2005,Northwest Territories,Pulp and Paper Products,24,0,-24
2005,Nova Scotia,Primary Wood Products,28290,18215008,18186718
2005,Nova Scotia,Pulp and Paper Products,21671634,763290331,741618697
2005,Nova Scotia,Wood-Fabricated Materials,29537540,251624080,222086540
2005,Nunavut,Pulp and Paper Products,0,932,932
2005,Ontario,Primary Wood Products,88895445,120079436,31183991
2005,Ontario,Pulp and Paper Products,4222336962,5377810871,1155473909
2005,Ontario,Wood-Fabricated Materials,1263473584,2946675765,1683202181
2005,Prince Edward Island,Primary Wood Products,0,54486,54486
2005,Prince Edward Island,Pulp and Paper Products,68517,5181599,5113082
2005,Prince Edward Island,Wood-Fabricated Materials,26836,16688550,16661714
2005,Quebec,Primary Wood Products,398374669,60911063,-337463606
2005,Quebec,Pulp and Paper Products,1097455542,7401356873,6303901331
2005,Quebec,Wood-Fabricated Materials,600944818,4235529590,3634584772
2005,Saskatchewan,Primary Wood Products,502560,6527379,6024819
2005,Saskatchewan,Pulp and Paper Products,38444749,437161687,398716938
2005,Saskatchewan,Wood-Fabricated Materials,29903422,437321652,407418230
2005,Yukon,Primary Wood Products,0,22026,22026
2005,Yukon,Pulp and Paper Products,12031,0,-12031
2005,Yukon,Wood-Fabricated Materials,4471,882926,878455
2006,Canada,Primary Wood Products,583728465,918073266,334344801
2006,Canada,Pulp and Paper Products,6703927840,20937728277,14233800437
2006,Canada,Wood-Fabricated Materials,2976258149,16480290135,13504031986
2006,Alberta,Primary Wood Products,2071653,27388894,25317241
2006,Alberta,Pulp and Paper Products,178778003,1446409734,1267631731
2006,Alberta,Wood-Fabricated Materials,157716239,1129846683,972130444
2006,British Columbia,Primary Wood Products,47435629,662511019,615075390
2006,British Columbia,Pulp and Paper Products,697667365,4788486600,4090819235
2006,British Columbia,Wood-Fabricated Materials,708984592,7865849944,7156865352
2006,Manitoba,Primary Wood Products,803064,1090277,287213
2006,Manitoba,Pulp and Paper Products,274100976,288580580,14479604
2006,Manitoba,Wood-Fabricated Materials,116587998,334661060,218073062
2006,New Brunswick,Primary Wood Products,89337165,5237133,-84100032
2006,New Brunswick,Pulp and Paper Products,95097144,1260900934,1165803790
2006,New Brunswick,Wood-Fabricated Materials,62283944,745776590,683492646
2006,Newfoundland and Labrador,Primary Wood Products,4907,48402,43495
2006,Newfoundland and Labrador,Pulp and Paper Products,11577816,448006052,436428236
2006,Newfoundland and Labrador,Wood-Fabricated Materials,290142,6572364,6282222
2006,Northwest Territories,Pulp and Paper Products,1886,540,-1346
2006,Northwest Territories,Wood-Fabricated Materials,270,50844,50574
2006,Nova Scotia,Primary Wood Products,8116,32246632,32238516
2006,Nova Scotia,Pulp and Paper Products,19458426,441350648,421892222
2006,Nova Scotia,Wood-Fabricated Materials,27358511,214717581,187359070
2006,Nunavut,Primary Wood Products,0,15486,15486
2006,Nunavut,Pulp and Paper Products,0,145047,145047
2006,Nunavut,Wood-Fabricated Materials,0,61742,61742
2006,Ontario,Primary Wood Products,75327339,110476621,35149282
2006,Ontario,Pulp and Paper Products,4276980094,4543754196,266774102
2006,Ontario,Wood-Fabricated Materials,1262356840,2352585001,1090228161
2006,Prince Edward Island,Primary Wood Products,0,55703,55703
2006,Prince Edward Island,Pulp and Paper Products,51836,1393809,1341973
2006,Prince Edward Island,Wood-Fabricated Materials,15128,10246417,10231289
2006,Quebec,Primary Wood Products,368507294,73351012,-295156282
2006,Quebec,Pulp and Paper Products,1105989028,7488351791,6382362763
2006,Quebec,Wood-Fabricated Materials,613394181,3567103318,2953709137
2006,Saskatchewan,Primary Wood Products,233298,5510215,5276917
2006,Saskatchewan,Pulp and Paper Products,44211473,230348346,186136873
2006,Saskatchewan,Wood-Fabricated Materials,27268768,252022763,224753995
2006,Yukon,Primary Wood Products,0,141872,141872
2006,Yukon,Pulp and Paper Products,13793,0,-13793
2006,Yukon,Wood-Fabricated Materials,1536,795828,794292
2007,Canada,Primary Wood Products,553062912,799602667,246539755
2007,Canada,Pulp and Paper Products,6701904446,20208564795,13506660349
2007,Canada,Wood-Fabricated Materials,2936616181,12720108779,9783492598
2007,Alberta,Primary Wood Products,840393,27012284,26171891
2007,Alberta,Pulp and Paper Products,161425785,1388499730,1227073945
2007,Alberta,Wood-Fabricated Materials,155937911,796104791,640166880
2007,British Columbia,Primary Wood Products,77610297,564540769,486930472
2007,British Columbia,Pulp and Paper Products,727276070,5121458881,4394182811
2007,British Columbia,Wood-Fabricated Materials,720422451,6389614232,5669191781
2007,Manitoba,Primary Wood Products,830660,731690,-98970
2007,Manitoba,Pulp and Paper Products,289070023,259736303,-29333720
2007,Manitoba,Wood-Fabricated Materials,113210778,271749031,158538253
