Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2022,Alberta,Wood-Fabricated Materials,149554574,3445886953,3296332379
2022,British Columbia,Primary Wood Products,114594306,1141514436,1026920130
2022,British Columbia,Pulp and Paper Products,1337457711,4441047463,3103589752
2022,British Columbia,Wood-Fabricated Materials,1394425565,9751062352,8356636787
2022,Manitoba,Primary Wood Products,7820988,1593322,-6227666
2022,Manitoba,Pulp and Paper Products,605952259,346224374,-259727885
2022,Manitoba,Wood-Fabricated Materials,213721883,389844070,176122187
2022,New Brunswick,Primary Wood Products,57808658,76846696,19038038
2022,New Brunswick,Pulp and Paper Products,227570232,1439373511,1211803279
2022,New Brunswick,Wood-Fabricated Materials,63732938,1162367577,1098634639
2022,Newfoundland and Labrador,Primary Wood Products,1140,20811,19671
2022,Newfoundland and Labrador,Pulp and Paper Products,6896103,195923807,189027704
2022,Newfoundland and Labrador,Wood-Fabricated Materials,86140,37964401,37878261
2022,Nova Scotia,Primary Wood Products,41671,35785571,35743900
2022,Nova Scotia,Pulp and Paper Products,36740994,330586207,293845213
2022,Nova Scotia,Wood-Fabricated Materials,27902941,249612289,221709348
2022,Ontario,Primary Wood Products,85649768,66119298,-19530470
2022,Ontario,Pulp and Paper Products,5839537894,3267482204,-2572055690
2022,Ontario,Wood-Fabricated Materials,1954005603,3033675892,1079670289
2022,Prince Edward Island,Pulp and Paper Products,58750,38512904,38454154
2022,Prince Edward Island,Wood-Fabricated Materials,19283,61277,41994
2022,Quebec,Primary Wood Products,274681140,208060886,-66620254
2022,Quebec,Pulp and Paper Products,1679248361,7306376924,5627128563
2022,Quebec,Wood-Fabricated Materials,672258229,5404936228,4732677999
2022,Saskatchewan,Primary Wood Products,6043813,4124333,-1919480
2022,Saskatchewan,Pulp and Paper Products,80641227,334480786,253839559
2022,Saskatchewan,Wood-Fabricated Materials,47511772,646497219,598985447
2022,Yukon,Pulp and Paper Products,72,0,-72
2022,Yukon,Wood-Fabricated Materials,0,312695,312695
2023,Canada,Primary Wood Products,609228615,1474773767,865545152
2023,Canada,Pulp and Paper Products,9764775477,18162505479,8397730002
2023,Canada,Wood-Fabricated Materials,3879950408,16574905579,12694955171
2023,Alberta,Primary Wood Products,10419158,42019320,31600162
2023,Alberta,Pulp and Paper Products,256488058,1827949473,1571461415
2023,Alberta,Wood-Fabricated Materials,168838125,1975829166,1806991041
2023,British Columbia,Primary Wood Products,145549725,1025407816,879858091
2023,British Columbia,Pulp and Paper Products,1186307489,3636376530,2450069041
2023,British Columbia,Wood-Fabricated Materials,1141563766,6392559988,5250996222
2023,Manitoba,Primary Wood Products,10001804,1718797,-8283007
2023,Manitoba,Pulp and Paper Products,638720615,316108625,-322611990
2023,Manitoba,Wood-Fabricated Materials,181271676,407820504,226548828
2023,New Brunswick,Primary Wood Products,89972885,86870785,-3102100
2023,New Brunswick,Pulp and Paper Products,207964530,1403672873,1195708343
2023,New Brunswick,Wood-Fabricated Materials,55110329,797384764,742274435
2023,Newfoundland and Labrador,Primary Wood Products,284,657,373
2023,Newfoundland and Labrador,Pulp and Paper Products,5517192,174849197,169332005
2023,Newfoundland and Labrador,Wood-Fabricated Materials,82026,22283711,22201685
2023,Northwest Territories,Pulp and Paper Products,0,38,38
2023,Nova Scotia,Primary Wood Products,17303,41998751,41981448
2023,Nova Scotia,Pulp and Paper Products,34178997,288390768,254211771
2023,Nova Scotia,Wood-Fabricated Materials,27294647,169834288,142539641
2023,Nunavut,Pulp and Paper Products,0,19,19
2023,Nunavut,Wood-Fabricated Materials,0,71507,71507
2023,Ontario,Primary Wood Products,99182109,60519379,-38662730
2023,Ontario,Pulp and Paper Products,5830855287,3331451503,-2499403784
2023,Ontario,Wood-Fabricated Materials,1744632905,2419693999,675061094
2023,Prince Edward Island,Pulp and Paper Products,62652,42508909,42446257
2023,Prince Edward Island,Wood-Fabricated Materials,1319,82802,81483
2023,Quebec,Primary Wood Products,245060378,212208671,-32851707
2023,Quebec,Pulp and Paper Products,1524190446,6841684561,5317494115
2023,Quebec,Wood-Fabricated Materials,515122386,4010123001,3495000615
2023,Saskatchewan,Primary Wood Products,9024969,4029591,-4995378
2023,Saskatchewan,Pulp and Paper Products,80489962,299512983,219023021
2023,Saskatchewan,Wood-Fabricated Materials,46033202,378633554,332600352
2023,Yukon,Pulp and Paper Products,249,0,-249
2023,Yukon,Wood-Fabricated Materials,27,588295,588268
